Gene	mat_SRR364453	pat_SRR364453	pat_SRR364454	mat_SRR364454	mat_SRR415002	pat_SRR415002	pat_SRR415003	mat_SRR415003
AC198206.5_FG001	6	5	2	4	6	5	2	4
AC198371.3_FG011	3	1	1	1	3	1	1	1
AC198403.3_FG001	0	3	0	2	0	3	0	2
AC198418.3_FG005	189	61	111	126	186	57	104	120
AC198481.3_FG004	127	120	100	155	120	117	94	149
AC198490.3_FG003	8	8	4	33	7	8	4	32
AC198700.2_FG004	3	9	23	79	3	9	21	74
AC198725.4_FG007	70	57	93	161	67	55	89	149
AC198752.4_FG004	0	6	0	1	0	6	0	1
AC198901.4_FG004	14	2	0	16	13	2	0	15
AC198937.4_FG003	1	0	0	2	1	0	0	2
AC199001.3_FG005	757	475	836	1032	724	453	802	993
AC199039.3_FG003	5	3	2	4	5	2	1	4
AC199058.2_FG001	28	35	30	42	24	34	30	38
AC199068.2_FG017	265	0	116	1	254	0	112	1
AC199204.3_FG002	3	0	0	0	3	0	0	0
AC199343.3_FG013	0	1	0	0	0	1	0	0
AC199363.4_FG003	77	27	33	65	75	27	33	65
AC199382.3_FG005	1	1	2	0	1	1	2	0
AC199526.5_FG001	3	0	0	1	3	0	0	1
AC199526.5_FG002	1161	674	674	1293	1103	646	646	1251
AC199526.5_FG003	139	6	7	22	129	6	7	19
AC199571.3_FG003	0	12	0	18	0	11	0	17
AC199782.5_FG001	537	309	261	607	511	293	250	588
AC199782.5_FG002	111	92	57	51	110	86	55	49
AC199782.5_FG003	33	8	14	40	32	8	13	40
AC199820.4_FG006	217	32	220	177	209	31	212	169
AC199826.4_FG003	11	9	2	28	11	8	2	28
AC199873.4_FG002	0	1	0	1	0	1	0	1
AC199911.5_FG001	0	2	0	1	0	1	0	1
AC200069.4_FG002	35	14	32	32	34	14	30	31
AC200210.1_FG006	137	61	94	130	131	58	88	125
AC200256.3_FG003	2	0	1	2	2	0	1	2
AC200495.3_FG001	5	0	1	0	5	0	1	0
AC200622.3_FG005	2	0	0	4	2	0	0	4
AC200754.4_FG004	3	0	0	0	3	0	0	0
AC200884.4_FG002	0	2	0	3	0	2	0	3
AC202011.3_FG010	9	1	2	5	9	1	2	2
AC202073.4_FG001	35	25	20	80	34	22	20	76
AC202144.5_FG001	10	0	7	0	10	0	7	0
AC202185.4_FG004	24	4	18	12	23	4	16	11
AC202435.3_FG001	6	4	11	12	5	4	10	11
AC202439.3_FG001	0	1	1	1	0	1	1	1
AC202549.3_FG008	11	1	1	0	11	1	1	0
AC202707.3_FG002	168	42	120	146	162	42	116	140
AC202864.3_FG002	22	16	26	29	20	15	24	28
AC202877.3_FG002	0	1	0	9	0	1	0	9
AC202911.3_FG002	0	1	3	0	0	1	3	0
AC203173.3_FG004	23712	9318	13742	21787	22542	8902	13216	20908
AC203278.4_FG004	1	0	0	1	1	0	0	1
AC203307.4_FG001	5	6	0	1	4	6	0	1
AC203365.3_FG007	4	0	1	1	4	0	1	1
AC203366.4_FG001	88	41	64	139	86	41	60	135
AC203394.3_FG004	23	9	8	7	22	8	8	6
AC203424.3_FG001	447	247	231	505	429	237	220	486
AC203535.4_FG001	185	111	127	261	176	110	118	253
AC203535.4_FG002	3202	1451	1496	2578	3065	1385	1421	2477
AC203535.4_FG004	1	4	2	2	1	4	2	2
AC203535.4_FG006	12	3	4	5	12	3	4	5
AC203570.4_FG005	53	28	33	44	48	27	33	42
AC203571.3_FG007	1	0	0	1	1	0	0	1
AC203754.4_FG008	13	7	10	11	13	7	10	11
AC203841.3_FG002	72	67	43	83	69	65	41	78
AC203841.3_FG009	362	170	241	367	348	162	229	356
AC203909.3_FG003	0	1	0	0	0	1	0	0
AC203966.5_FG005	36	23	22	51	31	22	22	51
AC203966.5_FG006	2	0	0	0	2	0	0	0
AC203972.3_FG001	5	2	0	2	5	2	0	2
AC203972.3_FG003	7	4	0	11	6	4	0	11
AC203989.4_FG001	746	313	385	754	713	298	370	724
AC204048.3_FG002	26	4	17	12	25	4	16	12
AC204050.4_FG006	3	1	3	2	3	1	3	1
AC204070.3_FG004	32	26	45	70	31	26	44	68
AC204254.3_FG001	2	0	0	0	2	0	0	0
AC204292.4_FG002	43	15	32	52	39	15	32	52
AC204292.4_FG006	0	71	0	156	0	69	0	152
AC204298.3_FG006	11	3	22	29	10	2	20	27
AC204359.3_FG005	153	59	71	110	145	57	71	103
AC204472.3_FG002	0	1	1	3	0	1	1	3
AC204502.4_FG006	2	3	3	2	2	3	3	2
AC204519.3_FG003	4	0	2	1	4	0	2	1
AC204530.4_FG006	4	0	2	5	4	0	2	5
AC204539.4_FG001	1	2	2	5	1	2	2	5
AC204539.4_FG002	16	1	16	5	15	1	15	5
AC204711.3_FG002	32	1	3	3	29	1	3	3
AC204711.3_FG003	3592	3575	2381	8750	3404	3381	2268	8316
AC204717.3_FG005	3	3	1	2	3	3	1	2
AC204868.3_FG004	1	0	0	1	1	0	0	1
AC204891.4_FG001	34	13	14	60	31	11	12	58
AC204931.3_FG004	2	0	0	0	2	0	0	0
AC205008.4_FG002	1	5	0	5	1	5	0	5
AC205057.3_FG002	2	19	25	23	2	19	25	22
AC205057.3_FG004	1	0	10	6	1	0	10	6
AC205100.3_FG001	0	2	0	5	0	1	0	4
AC205320.3_FG004	54	23	32	52	50	22	29	49
AC205324.3_FG003	3	1	1	2	3	1	1	2
AC205336.3_FG003	6	0	0	0	6	0	0	0
AC205362.4_FG002	16	3	4	5	15	3	4	5
AC205376.4_FG003	1	2	0	1	1	2	0	1
AC205376.4_FG008	27	26	13	24	26	23	12	24
AC205419.3_FG001	2285	804	1214	1910	2187	766	1166	1846
AC205470.3_FG008	0	1	0	0	0	1	0	0
AC205471.4_FG003	26	61	8	125	26	57	8	121
AC205471.4_FG007	17	2	5	5	17	2	4	4
AC205471.4_FG008	2	9	2	26	2	9	2	22
AC205484.3_FG005	0	11	0	2	0	10	0	2
AC205490.4_FG004	3	1	1	0	3	1	1	0
AC205502.4_FG004	2	0	0	0	1	0	0	0
AC205521.3_FG003	3202	1406	1466	2323	3064	1326	1417	2228
AC205574.3_FG006	191	88	80	143	184	85	76	140
AC205592.3_FG001	5	12	1	19	5	11	1	17
AC205664.3_FG001	45	0	23	0	43	0	22	0
AC205673.3_FG006	116	52	53	94	112	52	50	92
AC205703.4_FG002	3631	1503	1769	2557	3464	1434	1703	2462
AC205853.3_FG014	3	0	0	0	3	0	0	0
AC205982.3_FG014	7	7	15	25	7	7	15	25
AC206031.3_FG007	1	2	0	12	1	2	0	11
AC206165.3_FG007	2	1	0	3	2	1	0	2
AC206223.3_FG001	2	0	0	5	2	0	0	5
AC206223.3_FG006	166	81	96	178	153	79	91	169
AC206223.3_FG007	2	3	1	2	2	3	1	2
AC206259.3_FG002	4	10	1	11	3	10	1	10
AC206259.3_FG003	46	39	30	35	45	39	28	34
AC206265.3_FG006	4	0	3	0	3	0	3	0
AC206350.3_FG005	0	1	0	1	0	1	0	1
AC206611.3_FG003	4	0	0	0	4	0	0	0
AC206764.4_FG001	2	9	2	21	2	8	2	18
AC206768.3_FG006	1	0	0	0	1	0	0	0
AC206788.3_FG008	74	28	53	123	70	27	50	118
AC206788.3_FG015	33	3	33	12	31	3	31	11
AC206901.3_FG005	6	3	3	5	5	3	3	3
AC206941.2_FG002	141	69	35	67	136	64	35	67
AC206951.3_FG017	7	1	2	3	7	1	2	3
AC207043.3_FG002	1	0	1	0	1	0	1	0
AC207205.3_FG004	4	0	1	7	3	0	1	6
AC207265.3_FG002	8	2	9	6	8	2	8	6
AC207342.3_FG007	382	198	253	490	369	192	244	475
AC207342.3_FG008	12	0	7	3	12	0	6	3
AC207533.2_FG002	19	17	20	30	19	16	19	28
AC207628.4_FG009	169	106	123	245	161	98	116	238
AC207628.4_FG010	41	0	38	0	41	0	35	0
AC207652.3_FG001	11	7	9	11	11	7	8	11
AC207722.2_FG009	1	1	1	1	1	1	1	1
AC207728.2_FG003	1	0	1	1	1	0	1	1
AC207814.3_FG003	0	5	0	15	0	5	0	14
AC207888.3_FG009	3	0	0	0	3	0	0	0
AC208031.3_FG002	4	6	1	8	4	5	1	8
AC208113.3_FG001	2	0	0	0	2	0	0	0
AC208126.3_FG001	0	6	0	73	0	6	0	71
AC208201.3_FG001	203	86	100	124	194	82	95	121
AC208337.2_FG003	102	0	0	69	97	0	0	66
AC208346.3_FG004	263	152	143	309	251	145	134	301
AC208358.3_FG005	2	0	0	0	2	0	0	0
AC208436.3_FG007	41	16	22	47	40	16	22	45
AC208440.3_FG003	359	188	213	448	339	179	206	440
AC208539.3_FG002	3	85	55	2	3	83	53	2
AC208559.3_FG003	0	37	2	52	0	33	2	50
AC208571.4_FG001	89	45	67	28	85	44	63	28
AC208576.3_FG001	3	0	1	1	3	0	1	1
AC208711.3_FG005	1	0	4	2	1	0	4	2
AC208724.3_FG001	101	11	79	72	95	10	76	71
AC208897.3_FG003	11	2	5	20	11	2	5	18
AC208905.3_FG004	0	1	0	0	0	1	0	0
AC208916.3_FG003	0	3	0	5	0	2	0	5
AC209080.3_FG004	36	7	10	6	32	7	10	6
AC209206.3_FG011	405	279	231	555	384	266	224	536
AC209206.3_FG014	20	0	0	4	18	0	0	4
AC209208.3_FG001	15	349	392	13	13	332	375	12
AC209208.3_FG002	41	10	14	10	39	10	13	9
AC209208.3_FG005	164	88	90	204	155	86	87	199
AC209213.4_FG002	0	3	1	13	0	3	1	12
AC209257.4_FG003	7	0	5	3	6	0	5	3
AC209257.4_FG006	7	4	14	19	7	4	13	19
AC209257.4_FG008	18	34	27	122	16	33	26	112
AC209374.4_FG002	55	14	32	27	54	14	31	27
AC209460.3_FG002	40	17	14	58	38	16	12	55
AC209624.2_FG003	1	31	34	7	1	29	34	7
AC209626.2_FG013	57	30	20	56	56	30	19	54
AC209664.3_FG002	457	264	270	603	433	247	256	570
AC209675.3_FG001	0	4	0	4	0	3	0	4
AC209705.3_FG004	13	11	15	23	13	11	15	23
AC209718.1_FG009	43	6	28	26	42	6	28	25
AC209739.3_FG003	4	3	2	2	4	3	2	2
AC209768.3_FG016	1	0	0	0	1	0	0	0
AC209784.3_FG011	19	33	7	109	19	32	6	106
AC209819.3_FG003	1	0	0	0	1	0	0	0
AC209819.3_FG005	1	23	2	82	1	22	2	77
AC209819.3_FG009	5	3	4	10	4	3	4	10
AC209819.3_FG012	96	73	43	149	88	68	37	144
AC209845.4_FG010	2	1	0	1	2	1	0	1
AC209858.4_FG002	1721	928	982	2243	1620	871	941	2141
AC209858.4_FG004	256	59	150	216	245	57	146	207
AC209898.2_FG004	9	1	5	13	9	1	5	13
