Gene	mat_SRR396678	pat_SRR396678	pat_SRR396679	mat_SRR396679
AC211892.4_FG002	16	0	2	0
AC212023.4_FG006	1	0	0	1
AC212209.2_FG010	4	0	0	0
AC212565.3_FG001	4698	2078	1857	2579
AC212567.3_FG003	1	0	0	0
AC212570.3_FG006	199	90	54	57
AC212728.3_FG001	2	0	1	0
AC212754.3_FG004	1	1	0	0
AC212835.3_FG001	7	11	2	12
AC212835.3_FG007	257	254	96	170
AC212859.3_FG007	2	3	1	0
AC212887.3_FG005	1	0	0	0
AC212967.3_FG001	0	3	0	2
AC213099.3_FG001	235	96	116	221
AC213099.3_FG002	88	29	37	30
AC213463.3_FG002	538	269	185	423
AC213463.3_FG004	36	10	5	8
AC213463.3_FG007	141	0	62	0
AC213463.3_FG009	37	12	6	6
AC213521.3_FG005	33	8	9	6
AC213600.3_FG002	530	386	141	429
AC213612.3_FG002	13	7	8	8
AC213621.5_FG002	19	12	5	11
AC213621.5_FG004	4	5	2	3
AC213654.3_FG003	10	3	5	7
AC213800.3_FG001	1	0	0	0
AC213884.3_FG001	557	357	122	219
AC213884.3_FG002	5	4	0	1
AC214040.3_FG009	2	0	0	0
AC214119.3_FG009	365	137	130	165
AC214168.3_FG001	1	0	0	0
AC214350.3_FG007	581	244	189	337
AC214448.3_FG007	2	4	1	7
AC214524.3_FG002	4	0	1	0
AC214602.3_FG012	34	10	5	7
AC214635.3_FG002	5	5	4	5
AC214640.3_FG003	129	60	30	39
AC214648.3_FG001	0	1	0	1
AC214648.3_FG003	838	214	278	179
AC214753.2_FG002	1	0	0	0
AC214771.3_FG003	1	0	0	3
AC214817.3_FG004	62	54	19	47
AC215195.3_FG005	0	2	0	1
AC215198.3_FG002	9	10	5	3
AC215201.3_FG005	170	406	143	707
AC215201.3_FG008	2	1	0	1
AC215244.3_FG002	1293	720	339	614
AC215260.3_FG001	64	2	12	2
AC215260.3_FG004	176	113	129	166
AC215638.3_FG007	1	0	0	0
AC215690.3_FG002	99	53	36	74
AC215907.3_FG003	2	0	0	0
AC216067.3_FG002	299	94	80	128
AC216229.3_FG002	42	1	0	0
AC216247.3_FG004	1	2	1	0
AC216871.3_FG004	0	4	0	3
AC217050.4_FG001	260	190	168	424
AC217050.4_FG004	65	23	26	49
AC217050.4_FG006	1442	1036	287	806
AC217264.3_FG001	2	1	0	0
AC217264.3_FG005	71	17	45	57
AC217271.3_FG001	114	73	20	37
AC217300.3_FG004	0	15	9	0
AC217300.3_FG005	23	15	13	13
AC217358.3_FG003	77	20	20	10
AC217358.3_FG005	1848	1460	555	1320
AC217358.3_FG010	9	5	4	3
AC217358.3_FG011	991	548	307	522
AC217401.3_FG002	41	26	9	22
AC217401.3_FG003	39	25	8	33
AC217415.3_FG004	8	6	0	2
AC217499.3_FG001	244	132	97	195
AC217556.3_FG003	208	116	35	89
AC217811.3_FG003	0	1	0	0
AC217887.3_FG004	1	0	2	1
AC217887.3_FG005	182	135	46	90
AC217947.4_FG002	36	11	3	9
AC217965.2_FG012	22	8	19	11
AC217977.3_FG003	274	187	163	201
AC218035.3_FG004	52	19	21	25
AC218457.2_FG013	24	11	6	8
AC218900.3_FG001	1	0	1	0
