Gene	mat_SRR068962	pat_SRR068962	mat_SRR068963	pat_SRR068963	mat_SRR068964	pat_SRR068964	mat_SRR068968	pat_SRR068968	mat_SRR068969	pat_SRR068969	mat_SRR068970	pat_SRR068970	mat_SRR068971	pat_SRR068971	mat_SRR068972	pat_SRR068972	mat_SRR068973	pat_SRR068973	mat_SRR068974	pat_SRR068974	pat_SRR068984	mat_SRR068984	pat_SRR068985	mat_SRR068985	pat_SRR068986	mat_SRR068986	pat_SRR068987	mat_SRR068987	pat_SRR068988	mat_SRR068988	pat_SRR068989	mat_SRR068989	pat_SRR068990	mat_SRR068990
AT5G37600	1	0	0	0	0	0	28	0	33	0	27	0	89	0	88	0	82	0	94	0	1	3	0	4	1	2	2	35	0	41	0	36	0	30
AT5G37630	26	7	27	19	27	14	75	22	114	33	127	35	55	15	35	19	30	17	29	13	30	32	53	48	57	61	60	52	36	39	38	43	48	48
AT5G37710	1	0	2	0	2	1	19	1	18	2	23	3	30	5	14	4	16	1	15	2	7	4	7	6	7	4	8	13	4	19	7	14	3	11
AT5G37770	37	14	29	10	32	9	1511	761	1902	968	1876	912	4227	1701	3178	1209	3211	1253	3106	1194	612	1571	793	2141	801	2112	1514	7024	1395	6617	1458	6787	1455	6877
AT5G37780	29	10	26	11	29	6	191	131	265	177	272	158	511	181	349	138	343	141	362	127	70	304	71	374	98	395	162	1126	210	1325	193	1315	198	1327
AT5G37790	6	2	8	2	5	4	50	38	51	54	52	46	98	109	69	97	78	76	78	84	26	99	38	111	32	124	43	137	50	115	37	131	33	129
AT5G37830	124	70	114	57	139	53	402	113	514	135	486	157	1005	188	804	135	812	150	809	131	213	285	252	374	246	382	283	725	289	683	288	723	298	739
AT5G37850	1	2	0	4	0	1	3	0	3	1	3	3	5	0	8	3	4	1	7	2	0	4	2	2	1	1	3	10	1	10	4	11	3	8
AT5G37930	0	1	0	1	0	0	7	3	6	2	6	4	3	0	0	0	3	3	2	0	5	4	3	5	4	4	3	4	2	4	2	4	2	3
AT5G38010	15	0	12	0	12	0	10	0	17	2	9	3	9	1	10	0	4	2	8	2	12	0	9	0	12	0	6	0	9	0	8	1	11	1
AT5G38050	5	5	4	3	1	10	84	84	121	122	132	135	65	74	48	55	69	47	55	53	54	187	55	231	66	276	32	188	26	165	23	202	27	162
AT5G38140	1	0	1	0	1	0	0	0	2	0	2	0	2	3	1	2	2	0	4	1	0	2	0	3	0	1	1	8	0	16	0	17	2	13
AT5G38160	31	58	38	75	45	64	577	714	715	950	755	946	2864	2329	2138	1769	2224	1770	2116	1620	242	1334	309	1908	342	1892	1169	3744	1271	4170	1244	4147	1400	4302
AT5G38170	565	353	498	345	514	387	1803	1427	2306	1799	2294	1796	4123	2195	3069	1629	3082	1567	2909	1621	657	1898	953	2463	924	2622	2573	5287	2510	5128	2569	4981	2515	5110
AT5G38195	2	0	0	0	0	0	3	0	2	0	3	3	4	2	2	0	1	3	2	0	3	3	0	1	3	4	0	3	2	4	2	7	5	4
AT5G38197	1	0	1	2	1	1	0	0	0	3	1	2	1	0	0	0	0	2	0	1	1	0	3	3	1	1	1	0	0	2	0	2	0	1
AT5G38200	4	0	1	2	3	0	9	5	15	9	14	4	26	20	15	8	19	8	12	23	7	10	7	22	8	17	14	30	23	27	13	24	13	20
AT5G38212	4	2	5	3	8	0	21	11	35	15	32	16	55	16	42	15	37	16	49	17	5	16	9	28	8	21	10	50	6	41	10	41	10	38
AT5G38280	3	2	7	1	7	3	5	4	16	9	12	11	24	20	16	19	14	13	17	14	15	20	11	16	11	32	24	35	28	54	25	33	42	39
AT5G38300	1	0	0	0	1	0	0	0	0	0	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	2	2	1	1	1	0	1	4
AT5G38360	6	2	7	4	4	8	36	12	33	19	46	19	92	30	66	24	53	17	57	22	14	24	19	30	14	29	32	75	32	83	27	76	31	101
AT5G38380	2	2	9	3	2	1	13	8	12	9	17	9	36	17	27	9	26	10	26	12	10	12	17	32	6	22	15	54	16	54	18	60	15	57
