Gene	mat_SRR924077	pat_SRR924077	pat_SRR924078	mat_SRR924078
AC209705.3_FG004	71	23	35	88
AC209718.1_FG009	22	7	14	19
AC209739.3_FG003	9	0	0	1
AC209768.3_FG005	2	1	0	0
AC209784.3_FG011	41	73	30	503
AC209819.3_FG003	2	0	0	0
AC209819.3_FG005	0	11	0	52
AC209819.3_FG009	2	1	3	3
AC209819.3_FG012	97	61	77	149
AC209845.4_FG010	0	1	0	31
AC209858.4_FG002	846	398	556	1261
AC209858.4_FG004	282	104	117	232
AC209898.2_FG004	58	17	23	43
AC209987.4_FG002	13	4	0	9
AC210003.2_FG004	155	25	86	95
AC210003.2_FG015	2	1	0	5
AC210013.4_FG002	8	39	12	54
AC210013.4_FG003	10	1	3	2
AC210013.4_FG008	111	32	123	102
AC210013.4_FG009	114	35	63	51
AC210013.4_FG011	325	204	181	704
AC210013.4_FG012	81	35	30	95
AC210013.4_FG013	10	1	2	11
AC210013.4_FG016	762	239	402	363
AC210013.4_FG018	96	2	59	13
AC210013.4_FG019	7700	3155	5657	9531
AC210023.3_FG014	1	2	0	9
AC210158.3_FG004	4	0	0	10
AC210173.4_FG005	783	301	338	803
AC210193.4_FG002	19	1	6	41
AC210204.3_FG002	25	10	9	54
AC210314.3_FG006	29	19	23	193
AC210422.3_FG009	3	0	1	6
AC210517.3_FG003	328	9	0	53
AC210595.3_FG004	8	6	0	2
AC210596.3_FG003	2	0	0	0
AC210616.4_FG003	1	0	3	2
AC210669.3_FG001	62	128	23	238
AC210816.3_FG006	24	26	40	134
AC210892.4_FG006	2	0	0	4
AC211164.5_FG003	104	12	39	81
AC211175.3_FG005	140	100	65	116
AC211192.3_FG003	13	0	0	50
AC211276.4_FG008	423	96	171	309
AC211357.4_FG004	86	17	25	32
AC211359.2_FG002	1	0	0	0
AC211390.3_FG001	4	2	13	5
AC211403.4_FG005	0	1	15	0
AC211474.3_FG006	19	0	25	0
AC211652.4_FG002	93	57	44	172
AC211737.3_FG012	101	40	38	105
AC211764.3_FG010	6	0	1	0
